Timestamp,Scenario name:,Overall rating,Factions used,Play time  hours,Difficulty,Starting Resources,Starting Income,Starting Buildings,Starting Units,Victory / Defeat Conditions,Timed Events / Additional Rules,What did you like the most?,What could be improved?,Other suggestions?
12/10/2025 12:03:53,not listed (please specify in a text field),5,Factory,10,Impossible,Needs less,Optimal,Needs more,Needs less,1,5,This is a test submission,Spreadsheet,This is a test submission
26/10/2025 00:59:50,The Hunt,3,"Castle, Rampart, Fortress",8,Normal,Optimal,Optimal,Optimal,Optimal,2,3,"Having the special dragon fights at the end was really cool, and it puts an interesting spin on the final battle compared to other scenarios.","The scenario is marked as a Clash scenario, but with there being a big dragon fight at the end it feels much more like a co-op scenario. This is what my group ended up doing, taking 3 of the 4 dragon fights and let everyone fight on of them.
The scenario round limit vs the tiles each player gets to traverse feels skewed - the limit is 14 while my group was touching the center tile around round 8. I think it would feel better to either shorten the limit or add another IV-V tile, although it should also be considered if the intention is for players to fight the dragon at full upgraded gold power or more start of endgame. It might require some boss hp balancing.
Some of the boss mechanics are unclear - the corrosive fields of the rust dragon are not made clear where or how exactly to place them. We randomized them with a 20 sided die but that felt a bit to random and didn't affect the battle a whole lot. For the Faerie dragon, you might want to add that it's spell casting can't be blocked by spell blocking effects like the Orb of Invulnerability as we had that and decided not to activate it as it would completely negate the mechanics of the fight.",
02/11/2025 01:33:20,Wandering Dragons,5,"Rampart, Fortress, Inferno",7,Hard,Optimal,Optimal,Optimal,Optimal,5,4,"Overall the Wanderung dragons made the game especially early and midgame really exciting and dynamic.
We had to run away from them at certain and when one player was attacked and killed by them, it was a major setback that caused a lot of tension. The need for strategic planning made the gameplay interesting.

Map Layout was really good and Had the exact perfect size for the dragons to be a menace and forced the players to use the whole map.

The time limit was really tight but worked out perfectly in the end and was therefore really exciting.

We had an epic battle with all our forces combined and the win felt like an amazing accomplishment.","The ruling was a bit of confusing for us.
We had problems to figure out if all players need to flag the utopia one after another or only one player needs to flag it.

With the neutral unit decks drawn at the beginning, we concluded that it was one fight and we retained the losses in the Dragon armies between player fights. That worked really well for us since it felt like combined powers of our team.

Also we ran into the problem that when the first player encountered the Utopia, in the unit pile there was a gold dragon and the attacking player was rampart and had the same unit in their army. We were unsure what to so in this case but just discarded the unit and drew another.
But that Kind of felt a bit awkward. We feel like there should be a ruling for that case.","The timed Events were fine, but didn't change anything for us. The obelisk ruling were great because it gave us a lot resources and stuff to work with."
05/11/2025 22:06:31,Wandering Dragons,5,"Necropolis, Fortress",3,Hard,Optimal,Optimal,Optimal,Optimal,4,3,"The WD stack get really scary when it moves 3 fields early on, but with a little luck one player can kite it around. ","Maybe add a round on hard diffuculty. We only made it on the last round, carried by very lucky and well executed Sandro play. ","The WD stack could get stuck on a blocked field, making it impossible to finish. Timed events are a little on the boring side could be some extra known movement for the WD stack which the players have to play around. (optional rule? :>) ) "
09/11/2025 17:23:58,Sentinels,5,"Necropolis, Dungeon",4,Hard,Optimal,Optimal,Needs more,Optimal,5,4,,,
11/11/2025 23:09:59,Emerald Island,5,"Castle, Necropolis, Dungeon, Rampart",5,Normal,Optimal,Optimal,Optimal,Optimal,4,4,"Nice playtime, especially for 1-st time players ",,If you have only base game and rampart dlc there are not enough tiles 2-3. So we replaced several of them with 4-5 tiles. But still it felt pretty easy on normal 
19/11/2025 09:22:02,Sentinels,5,"Necropolis, Dungeon",5,Normal,Optimal,Optimal,Optimal,Optimal,5,5,"Loved this scenario. The centered start on the map layout is a really clutch idea, and the mechanics related to the spawning enemy armies - especially the boss army - were good.",,"Not a suggestion, but having used to playing the Hard difficulty by default, the Normal difficulty felt a bit too easy for us. We'll definitely try out Hard later on. Thanks for a fun session with this scenario!"
23/11/2025 18:43:31,The Ambushed Accord,4,"Necropolis, Dungeon",8,Hard,Optimal,Needs more,Needs more,Optimal,4,5,"- Overall, this is a very good addition to coop-scenarios! This was well worth the time it took to play the scenario.

- Getting the starting army from random bronze-tier units is an awesome idea that certainly spiced the game up really nicely (especially with one of us getting Rogues as their starting unit with their global special skill).

- We really liked the idea of a minimalistic starting map with players almost completely building the map themselves with a much larger-than-usual Map Tile Pool.","- The scenario was extremely resource-constrained with valuables, and that completely screwed us over, even when we really prioritized getting them. We just could not get enough of the valuables to build our gold-tier buildings (not to mention the units) for the whole game.

- I would consider one of the following things: 1) giving more valuables as starting resources, 2) giving more income on valuables at the start and/or c) reducing the price of valuables that revealing the Center Map tile costs

- The difficulty level seemed much harder than what the Hard difficulty typically is - maybe the difficulty level could be eased by just a little bit? (Perhaps by giving more valuables, as suggested earlier, or giving a larger starting army?)

- Note on the difficulty: We forgot the rules of getting an additional morale token each astrologer's round, as well as the rule allowing the change of artifacts and spells. Our failure to take advantage of these for sure made it harder for us to win the scenario. (We lost miserably at the timed event fight on round 13. :D). This was certainly a nice touch to the normal rules, if we didn't fail to remember it going into deeper rounds!","- We were initially confused as to what the ""Initiative Stack Token"" (used in Hard/Impossible difficulties) means, as we are not familiar with new expansions. Maybe it could be explained?

- There's an error between the round numbers when timed events happen vs in the difficulty settings -box on hard difficulty. Timed events -section says that timed event fights happen in rounds 4, 7, 9, 11 & 13. In the difficulty settings box (hard difficulty), it mentions fights of rounds 4, 8 and 10. (Because these were not synced, we ended up using the initiative stack tokens on fights in rounds 4, 7 and 9.)

- The amount of rounds (14) feels high compared to how small the map is. For example, could adding one more Near (IV-V) map tile per player to Map Tile Pool improve the overall experience, as there would be more to explore? (And make the scenario a little bit easier?)"
01/12/2025 13:12:07,The Obelisk,4,"Castle, Necropolis, Dungeon, Rampart",7,Hard,Optimal,,Optimal,Optimal,4,4,Fast paced game,Amount of obelisks needing to be captured when playing with less than 6 players.,Game ended too suddenly when playing with 4 players.
01/12/2025 13:51:39,Astral Run,5,"Castle, Dungeon, Rampart, Inferno",10,Normal,Optimal,Optimal,Optimal,Optimal,5,5,"Teleporting back and forth, making PvP possible every turn when on the Near tiles. Round limit 15 was exactly right.",,"We played obelisks so that the player who is first to flag it, is the only one who gets the reward from that obelisk.
Grail rule?"
